GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logiweb,org.retal.logiweb.service.jms,NotificationSender,0,52,0,2,0,14,0,6,0,5
logiweb,org.retal.logiweb.service.logic.impl,CarService,5,360,4,22,0,68,4,26,0,17
logiweb,org.retal.logiweb.service.logic.impl,CityService,20,162,0,4,6,37,0,8,0,6
logiweb,org.retal.logiweb.service.logic.impl,UserService,10,496,2,44,3,101,2,36,0,15
logiweb,org.retal.logiweb.service.logic.impl,UserAuthorizationService,0,68,0,2,0,13,0,4,0,3
logiweb,org.retal.logiweb.service.logic.impl,OrderService,37,2943,16,260,7,568,17,158,1,36
logiweb,org.retal.logiweb.service.logic.impl,DriverService,6,381,2,34,1,96,2,22,0,5
logiweb,org.retal.logiweb.service.logic.impl,CargoService,2,228,2,15,0,52,2,16,0,9
logiweb,org.retal.logiweb.controller,ErrorPagesController,0,35,0,0,0,9,0,8,0,8
logiweb,org.retal.logiweb.controller,AdminPageController,0,408,0,12,0,89,0,19,0,13
logiweb,org.retal.logiweb.controller,ErrorPagesController.Annotated503ErrorCodeException,0,3,0,0,0,2,0,1,0,1
logiweb,org.retal.logiweb.controller,CargoAndOrdersPageController,0,235,1,7,0,43,1,11,0,8
logiweb,org.retal.logiweb.controller,AuthAndLogoutController,0,33,0,4,0,9,0,5,0,3
logiweb,org.retal.logiweb.controller,DriverPageController,0,285,1,9,0,61,1,11,0,7
logiweb,org.retal.logiweb.controller,ManagerCarPageController,0,336,0,12,0,68,0,18,0,12
logiweb,org.retal.logiweb.controller,HomePageController,0,14,0,0,0,5,0,4,0,4
logiweb,org.retal.logiweb.controller,ManagerUserPageController,0,418,0,18,0,82,0,21,0,12
logiweb,org.retal.logiweb.controller,CompletedOrdersPageController,0,43,0,0,0,10,0,2,0,2
logiweb,org.retal.logiweb.controller,GlobalExceptionHandler,0,59,0,6,0,11,0,6,0,3
logiweb,org.retal.logiweb.dao.interfaces,DAO,0,108,0,10,0,20,0,9,0,4
logiweb,org.retal.logiweb.service.validators,CargoValidator,0,123,0,14,0,33,0,13,0,6
logiweb,org.retal.logiweb.service.validators,UserValidator,0,372,0,36,0,81,0,26,0,8
logiweb,org.retal.logiweb.service.validators,RoutePointsValidator,0,283,0,32,0,49,0,21,0,5
logiweb,org.retal.logiweb.service.validators,CarValidator,0,104,0,14,0,24,0,12,0,5
logiweb,org.retal.logiweb.service.web,OrderEndpoint,0,221,0,4,0,45,0,12,0,10
logiweb,org.retal.logiweb.service.web,CarsEndpoint,5,83,3,3,0,15,3,8,0,8
logiweb,org.retal.logiweb.service.web,DriverEndpoint,3,81,3,3,0,17,3,8,0,8
logiweb,org.retal.logiweb.dao.impl,CarDAO,0,156,0,0,0,45,0,9,0,9
logiweb,org.retal.logiweb.dao.impl,CargoDAO,0,106,0,2,0,28,0,8,0,7
logiweb,org.retal.logiweb.dao.impl,RoutePointDAO,0,51,0,2,0,13,0,8,0,7
logiweb,org.retal.logiweb.dao.impl,CompletedOrderInfoDAO,0,47,0,0,0,14,0,5,0,5
logiweb,org.retal.logiweb.dao.impl,CityDAO,0,116,0,2,0,24,0,8,0,7
logiweb,org.retal.logiweb.dao.impl,OrderDAO,0,175,0,12,0,41,0,14,0,8
logiweb,org.retal.logiweb.dao.impl,OrderRouteProgressionDAO,0,74,0,0,0,24,0,6,0,6
logiweb,org.retal.logiweb.dao.impl,UserDAO,0,299,0,8,0,67,0,15,0,11
logiweb,org.retal.logiweb.dao.impl,CityDistanceDAO,0,107,0,0,0,24,0,7,0,7
